구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,sales_type,age,year
Peugeot - 508 2.0 BLUe-HDi,1,0,4,0,0,0,0,0,0,0,0,0,5,개인,30~39,2020
Peugeot - e-2008 Electric,0,2,5,5,0,0,0,0,0,0,0,0,12,개인,30~39,2020
Peugeot - e-208 Electric,0,4,7,6,0,0,0,0,0,0,0,0,17,개인,30~39,2020
Porsche - 718 Boxster,0,0,0,1,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Porsche - 718 Boxster GTS 4.0,0,1,7,8,0,0,0,0,0,0,0,0,16,개인,30~39,2020
Porsche - 718 Boxster S,1,0,0,1,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Porsche - 718 Cayman,2,0,0,0,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Porsche - 718 Cayman GTS 4.0,0,0,3,2,0,0,0,0,0,0,0,0,5,개인,30~39,2020
Porsche - 718 Cayman S,0,0,1,0,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Porsche - 911 Carrera 4S,1,0,1,0,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Porsche - 911 Carrera 4S Cabriolet,5,1,0,0,0,0,0,0,0,0,0,0,6,개인,30~39,2020
Porsche - 911 Carrera Cabriolet,2,0,0,0,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Porsche - 911 Carrera Coupe,2,2,0,0,0,0,0,0,0,0,0,0,4,개인,30~39,2020
Porsche - 911 Targa 4,0,1,0,0,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Porsche - 911 Targa 4S,1,1,0,0,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Porsche - 911 Turbo S,2,1,0,0,0,0,0,0,0,0,0,0,3,개인,30~39,2020
Porsche - 911 Turbo S Cabriolet,2,0,0,1,0,0,0,0,0,0,0,0,3,개인,30~39,2020
Porsche - Cayenne,33,30,19,24,0,0,0,0,0,0,0,0,106,개인,30~39,2020
Porsche - Cayenne Coupe,24,31,38,26,0,0,0,0,0,0,0,0,119,개인,30~39,2020
Porsche - Cayenne E-Hybrid,0,11,11,4,0,0,0,0,0,0,0,0,26,개인,30~39,2020
Porsche - Cayenne E-Hybrid Coupe,0,10,8,8,0,0,0,0,0,0,0,0,26,개인,30~39,2020
Porsche - Macan,0,11,10,11,0,0,0,0,0,0,0,0,32,개인,30~39,2020
Porsche - Macan GTS,9,3,2,7,0,0,0,0,0,0,0,0,21,개인,30~39,2020
Porsche - Panamera 4,0,0,12,11,0,0,0,0,0,0,0,0,23,개인,30~39,2020
Porsche - Panamera GTS,0,0,1,4,0,0,0,0,0,0,0,0,5,개인,30~39,2020
Porsche - Taycan 4S,6,6,12,10,0,0,0,0,0,0,0,0,34,개인,30~39,2020
Rolls-Royce - Cullinan,0,2,0,0,0,0,0,0,0,0,0,0,2,개인,30~39,2020
Rolls-Royce - Wraith,0,1,0,0,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Toyota - 86,3,0,0,0,0,0,0,0,0,0,0,0,3,개인,30~39,2020
Toyota - Avalon Hybrid,0,2,2,1,0,0,0,0,0,0,0,0,5,개인,30~39,2020
Toyota - Camry,7,0,1,2,0,0,0,0,0,0,0,0,10,개인,30~39,2020
Toyota - Camry Hybrid,13,21,35,10,0,0,0,0,0,0,0,0,79,개인,30~39,2020
Toyota - GR Supra,0,1,2,2,0,0,0,0,0,0,0,0,5,개인,30~39,2020
Toyota - Prius,8,12,13,13,0,0,0,0,0,0,0,0,46,개인,30~39,2020
Toyota - Prius C,2,2,1,2,0,0,0,0,0,0,0,0,7,개인,30~39,2020
Toyota - RAV4,3,4,2,3,0,0,0,0,0,0,0,0,12,개인,30~39,2020
Toyota - RAV4-HV,33,29,31,37,0,0,0,0,0,0,0,0,130,개인,30~39,2020
Toyota - Sienna Hybrid,0,0,0,19,0,0,0,0,0,0,0,0,19,개인,30~39,2020
Volkswagen - Arteon 2.0 TDI,67,34,36,25,0,0,0,0,0,0,0,0,162,개인,30~39,2020
Volkswagen - Arteon 2.0 TDI 4Motion,11,20,16,1,0,0,0,0,0,0,0,0,48,개인,30~39,2020
Volkswagen - Jetta 1.4 TSI,8,216,99,15,0,0,0,0,0,0,0,0,338,개인,30~39,2020
Volkswagen - Passat GT 2.0 TDI,17,15,28,37,0,0,0,0,0,0,0,0,97,개인,30~39,2020
Volkswagen - Passat GT 2.0 TDI 4Motion,0,3,3,4,0,0,0,0,0,0,0,0,10,개인,30~39,2020
Volkswagen - T-Roc 2.0 TDI,0,25,13,26,0,0,0,0,0,0,0,0,64,개인,30~39,2020
Volkswagen - Tiguan 2.0 TDI,1,0,0,0,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Volkswagen - Tiguan Allspace 2.0 TDI,176,175,182,175,0,0,0,0,0,0,0,0,708,개인,30~39,2020
Volkswagen - Touareg 3.0 TDI,8,11,1,0,0,0,0,0,0,0,0,0,20,개인,30~39,2020
Volkswagen - Touareg 4.0 TDI,1,0,0,0,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Volvo - S60 B5,56,45,65,38,0,0,0,0,0,0,0,0,204,개인,30~39,2020
Volvo - S90 B5,18,18,22,23,0,0,0,0,0,0,0,0,81,개인,30~39,2020
Volvo - S90 B6 AWD,0,0,0,5,0,0,0,0,0,0,0,0,5,개인,30~39,2020
Volvo - S90 T8 AWD,0,0,0,1,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Volvo - V60CC B5 AWD,47,29,48,54,0,0,0,0,0,0,0,0,178,개인,30~39,2020
Volvo - V90CC B5 AWD,6,10,1,7,0,0,0,0,0,0,0,0,24,개인,30~39,2020
Volvo - V90CC B6 AWD,0,0,0,1,0,0,0,0,0,0,0,0,1,개인,30~39,2020
Volvo - XC40 B4 AWD,69,52,94,85,0,0,0,0,0,0,0,0,300,개인,30~39,2020
Volvo - XC60 B5 AWD,0,0,0,24,0,0,0,0,0,0,0,0,24,개인,30~39,2020
Volvo - XC60 B6 AWD,0,0,0,19,0,0,0,0,0,0,0,0,19,개인,30~39,2020
Volvo - XC60 T8 AWD,68,117,48,15,0,0,0,0,0,0,0,0,248,개인,30~39,2020
Volvo - XC90 B6 AWD,0,0,0,7,0,0,0,0,0,0,0,0,7,개인,30~39,2020
Volvo - XC90 T8 AWD,17,17,18,8,0,0,0,0,0,0,0,0,60,개인,30~39,2020
Audi - A4 35 TDI,4,0,0,0,0,0,0,0,0,0,0,0,4,개인,40~49,2020
Audi - A4 40 TDI quattro,0,0,1,0,0,0,0,0,0,0,0,0,1,개인,40~49,2020
Audi - A4 40 TFSI,9,20,39,16,0,0,0,0,0,0,0,0,84,개인,40~49,2020
Audi - A4 45 TFSI quattro,0,0,3,3,0,0,0,0,0,0,0,0,6,개인,40~49,2020
Audi - A5 Cabriolet 45 TFSI quattro,0,4,0,0,0,0,0,0,0,0,0,0,4,개인,40~49,2020
Audi - A5 Coupe 45 TFSI quattro,0,1,2,0,0,0,0,0,0,0,0,0,3,개인,40~49,2020
Audi - A5 Sportback 40 TDI quattro,6,1,6,2,0,0,0,0,0,0,0,0,15,개인,40~49,2020
Audi - A5 Sportback 40 TFSI quattro,0,0,4,5,0,0,0,0,0,0,0,0,9,개인,40~49,2020
Audi - A5 Sportback 45 TFSI quattro,1,3,9,5,0,0,0,0,0,0,0,0,18,개인,40~49,2020
