index	keys	values
143	AVALON	"도요타아발론하이브리드,아발론하이브리드,Toyota Avalon Hybrid,도요타Avalon Hybrid"
144	CAMRY	"도요타캠리,ToyotaCamry,도요타Camry"
145	CAMRY	"도요타캠리,ToyotaCamry,도요타Camry"
146	CAMRY	"도요타캠리,ToyotaCamry,도요타Camry"
147	GHIBLI	"마세라티기블리,기블리"
148	LEVANTE	"마세라티르반테,마세라티르반떼"
149	LEVANTE	"마세라티르반테,마세라티르반떼"
150	LEVANTE	"마세라티르반테,마세라티르반떼"
151	LEVANTE	"마세라티르반테,마세라티르반떼"
152	RX450HL	알엑스450L
153	RX350	"알엑스삼백오십,알엑스350"
154	NX300	"엔엑스300,엔엑스삼백"
155	LC500H	"엘씨오백에이치,엘씨오백하이브리드,엘씨500h"
156	LS500	"엘에스오백,엘에스500"
157	LS500	"엘에스오백,엘에스500"
158	LS500H	"엘에스오백에이치,엘에스오백하이브리드,엘에스하이브리드"
159	UX250H	"유엑스이오공하이브리드,유엑스이오공h"
160	UX250H	"유엑스이오공하이브리드,유엑스이오공h"
161	CHEROKEE	"채로키 22,체로키 22,Jeep Cherokee 22,지프 채로키 22,지프 체로키 22,채로키22,체로키22,JeepCherokee22,지프채로키22,지프체로키22,,"
162	2008	"푸조2008, 푸조2008SUV, 2008"
163	3008	"푸조3008, 3008"
164	308	"푸조308, 푸조308SW"
165	308	"푸조308, 푸조308SW"
166	5008	"푸조5008, 푸조5008GT, 5008, 푸조5008GT, PUGEOT5008"
167	508	"푸조508, 508, 508GT, 푸조508알뤼르, 푸조508ALLURE, PUGEOT508, 508SW, 푸조508GT"
168	508	"푸조508, 508, 508GT, 푸조508알뤼르, 푸조508ALLURE, PUGEOT508, 508SW, 푸조508GT"
169	CR_V	"혼다 CRV,CRV,2021혼다"
170	CR_V	"혼다 CRV,CRV,2021혼다"
171	ACCORD	"혼다어코드,혼다,어코드,혼다어코드15T"
172	PILOT	"혼다파일럿,혼다 pilot,pilot honda,honda pilot"
