,brand_ad,brand,advertiser,keys,values
,Cadillac_지엠코리아캐딜락,Cadillac,지엠코리아캐딜락,Cadillac,"지엠캐딜락, 캐딜락, GM 캐딜락, 캐딜락코리아, 지엠코리아, GM코리아"
,Cadillac_캐딜락코리아,Cadillac,캐딜락코리아,Cadillac,"지엠캐딜락, 캐딜락, GM 캐딜락, 캐딜락코리아, 지엠코리아, GM코리아"
,Cadillac_캐딜락*,Cadillac,캐딜락*,Cadillac,"지엠캐딜락, 캐딜락, GM 캐딜락"
,Cadillac_캐딜락에스컬레이드플래티넘,Cadillac,캐딜락에스컬레이드플래티넘,ESCALADE,"에스컬레이드, 캐딜락에스컬레이드, 캐딜락에스컬레이드롱바디, 에스컬레이드롱바디, ESCALADE, 캐딜락에스컬레이터, 에스컬레이드ESV, 캐딜락에스컬레이드리무진, 에스컬레이드리스, 캐딜락에스컬레이드ESV, 캐딜락에스컬레이드리스"
,Cadillac_캐딜락CT6,Cadillac,캐딜락CT6,CT6,"캐딜락CT6, CT6"
,Cadillac_캐딜락XT5,Cadillac,캐딜락XT5,XT5,"캐딜락XT5, XT5"
,Cadillac_캐딜락에스컬레이드,Cadillac,캐딜락에스컬레이드,Cadillac,"지엠캐딜락에스컬레이드, 캐딜락에스컬레이드롱바디, 에스컬레이드롱바디, ESCALADE"
,Chrysler_크라이슬러피아트500X,Chrysler,크라이슬러피아트500X,FIAT500X,"피아트500, 피아트500X, FIAT500X"
,Chrysler_크라이슬러지프,Chrysler,크라이슬러지프,JEEP,"지프, JEEP"
,Chrysler_크라이슬러지프레니게이드,Chrysler,크라이슬러지프레니게이드,RENEGADE,"JEEPRENEGADE1.6,RENEGADE1.6,래니게이트1.6,래니게이트1.6,지프레니게이트1.6,지프래니게이트1.6,레니게이드1.6"
,Chrysler_크라이슬러지프랭글러,Chrysler,크라이슬러지프랭글러,WRANGLER,"WRANGLERRUBICON2.0,WRANGLERRUBICON,랭글러루비콘,지프랭글러루비콘,루비콘"
,Chrysler_크라이슬러지프컴패스,Chrysler,크라이슬러지프컴패스,COMPASS,"지프캠퍼스,지프켐퍼스"
,Ford_포드레인저,Ford,포드레인저,RANGER_RAPTOR,"포드레인저랩터, 포드레인저, 포드F150랩터, 포드랩터, 포드F150"
,Ford_포드몬데오,Ford,포드몬데오,MONDEO,"포드몬데오, 몬데오, MONDEO"
,Ford_포드익스플로러,Ford,포드익스플로러,EXPLORER,"포드익스플로러, 포드익스플로러리스, EXPLORER, 포드익스플로러풀래티넘, 포드익스플로러2.3, 포드익스플로러프로모션, 포드익스플로러하이브리드, 익스플로러플래티넘"
,Ford_포드쿠가,Ford,포드쿠가,KUGA,"포드쿠가, ford쿠가, 포드KUGA, KUGA"
