구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age,year
Mercedes-Benz,42,37,42,24,31,56,26,21,27,33,45,9,393,서울,개인,70~,2016
Nissan,1,2,1,1,0,1,0,0,1,0,0,1,8,서울,개인,70~,2016
Peugeot,0,1,0,1,2,0,1,1,0,0,0,1,7,서울,개인,70~,2016
Porsche,0,1,1,1,0,2,0,0,0,0,0,1,6,서울,개인,70~,2016
Toyota,2,2,5,2,3,9,4,5,4,6,11,5,58,서울,개인,70~,2016
Volvo,0,2,2,1,2,4,1,2,3,3,6,0,26,서울,개인,70~,2016
Audi,2,4,0,0,0,0,0,0,0,0,0,0,6,서울,개인-남자,20~29,2016
BMW,23,35,56,72,61,63,28,43,67,51,48,77,624,서울,개인-남자,20~29,2016
Cadillac,0,2,0,0,0,1,3,0,0,2,2,0,10,서울,개인-남자,20~29,2016
Chrysler,8,3,3,2,5,7,6,7,9,2,7,6,65,서울,개인-남자,20~29,2016
Citroen,0,3,1,2,1,0,2,2,0,0,0,0,11,서울,개인-남자,20~29,2016
Fiat,1,1,1,1,0,0,0,0,0,0,0,0,4,서울,개인-남자,20~29,2016
Ford,6,1,5,3,5,5,7,2,4,1,6,7,52,서울,개인-남자,20~29,2016
Honda,3,1,3,7,4,7,3,0,8,3,2,6,47,서울,개인-남자,20~29,2016
Infiniti,1,0,2,0,2,1,1,3,2,3,4,11,30,서울,개인-남자,20~29,2016
Jaguar,1,1,6,1,2,1,3,1,8,1,2,1,28,서울,개인-남자,20~29,2016
Land Rover,2,4,3,2,2,1,1,5,6,1,2,4,33,서울,개인-남자,20~29,2016
Lexus,1,1,2,0,0,5,5,1,3,3,5,4,30,서울,개인-남자,20~29,2016
MINI,5,5,4,4,5,9,6,5,9,3,4,11,70,서울,개인-남자,20~29,2016
Mercedes-Benz,32,33,27,40,22,38,38,36,19,22,36,25,368,서울,개인-남자,20~29,2016
Nissan,2,7,8,1,5,5,5,0,2,3,2,4,44,서울,개인-남자,20~29,2016
Peugeot,1,3,5,3,2,1,2,0,2,2,4,4,29,서울,개인-남자,20~29,2016
Porsche,2,2,1,2,1,3,2,0,1,1,1,2,18,서울,개인-남자,20~29,2016
Toyota,4,5,6,5,3,8,9,5,7,9,8,12,81,서울,개인-남자,20~29,2016
Volvo,1,1,1,1,0,4,1,2,1,1,3,0,16,서울,개인-남자,20~29,2016
Audi,11,7,4,0,0,0,0,0,0,0,0,0,22,서울,개인-남자,30~39,2016
BMW,83,138,300,383,288,292,134,153,256,227,360,356,"2,970",서울,개인-남자,30~39,2016
Bentley,0,0,0,0,1,0,0,0,0,0,1,0,2,서울,개인-남자,30~39,2016
Cadillac,1,2,3,4,7,6,7,5,9,2,5,13,64,서울,개인-남자,30~39,2016
Chrysler,18,24,20,23,17,27,22,26,29,15,23,27,271,서울,개인-남자,30~39,2016
Citroen,3,8,9,6,3,4,8,7,6,5,3,8,70,서울,개인-남자,30~39,2016
