구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age
Lexus,13,22,32,20,17,28,22,35,21,11,26,27,274,서울,개인,60~69
MINI,2,3,3,5,8,6,2,2,5,2,2,4,44,서울,개인,60~69
Mercedes-Benz,133,109,114,91,82,136,69,74,99,72,95,57,"1,131",서울,개인,60~69
Nissan,4,3,4,2,7,5,6,7,5,1,4,6,54,서울,개인,60~69
Peugeot,0,1,1,1,0,2,3,1,3,0,0,2,14,서울,개인,60~69
Porsche,4,2,3,1,2,4,0,2,0,2,2,6,28,서울,개인,60~69
Toyota,14,7,13,11,14,13,20,18,12,19,22,15,178,서울,개인,60~69
Volvo,7,7,9,4,8,10,8,5,3,11,18,3,93,서울,개인,60~69
Audi,1,2,0,0,0,0,0,0,0,0,0,0,3,서울,개인,70~
BMW,5,7,13,9,13,13,4,9,6,10,7,14,110,서울,개인,70~
Cadillac,0,0,0,0,1,0,1,0,1,0,3,0,6,서울,개인,70~
Chrysler,0,0,1,1,0,0,0,2,2,0,1,1,8,서울,개인,70~
Citroen,0,0,0,0,0,1,0,1,0,0,0,0,2,서울,개인,70~
Fiat,0,0,1,0,0,0,0,0,0,0,0,0,1,서울,개인,70~
Ford,7,3,5,3,2,3,5,5,2,2,3,0,40,서울,개인,70~
Honda,2,2,1,0,1,7,1,2,2,4,2,1,25,서울,개인,70~
Infiniti,0,0,0,2,1,0,0,0,1,0,0,1,5,서울,개인,70~
Jaguar,0,1,2,2,0,0,0,1,1,0,0,0,7,서울,개인,70~
Land Rover,0,2,0,2,1,1,2,2,2,1,3,6,22,서울,개인,70~
Lexus,6,6,12,5,5,6,5,12,4,4,9,8,82,서울,개인,70~
MINI,0,1,0,1,1,0,3,2,2,3,3,0,16,서울,개인,70~
Mercedes-Benz,42,37,42,24,31,56,26,21,27,33,45,9,393,서울,개인,70~
Nissan,1,2,1,1,0,1,0,0,1,0,0,1,8,서울,개인,70~
Peugeot,0,1,0,1,2,0,1,1,0,0,0,1,7,서울,개인,70~
Porsche,0,1,1,1,0,2,0,0,0,0,0,1,6,서울,개인,70~
Toyota,2,2,5,2,3,9,4,5,4,6,11,5,58,서울,개인,70~
Volvo,0,2,2,1,2,4,1,2,3,3,6,0,26,서울,개인,70~
Audi,2,4,0,0,0,0,0,0,0,0,0,0,6,서울,개인-남자,20~29
BMW,23,35,56,72,61,63,28,43,67,51,48,77,624,서울,개인-남자,20~29
Cadillac,0,2,0,0,0,1,3,0,0,2,2,0,10,서울,개인-남자,20~29
Chrysler,8,3,3,2,5,7,6,7,9,2,7,6,65,서울,개인-남자,20~29
Citroen,0,3,1,2,1,0,2,2,0,0,0,0,11,서울,개인-남자,20~29
Fiat,1,1,1,1,0,0,0,0,0,0,0,0,4,서울,개인-남자,20~29
Ford,6,1,5,3,5,5,7,2,4,1,6,7,52,서울,개인-남자,20~29
Honda,3,1,3,7,4,7,3,0,8,3,2,6,47,서울,개인-남자,20~29
Infiniti,1,0,2,0,2,1,1,3,2,3,4,11,30,서울,개인-남자,20~29
Jaguar,1,1,6,1,2,1,3,1,8,1,2,1,28,서울,개인-남자,20~29
Land Rover,2,4,3,2,2,1,1,5,6,1,2,4,33,서울,개인-남자,20~29
Lexus,1,1,2,0,0,5,5,1,3,3,5,4,30,서울,개인-남자,20~29
MINI,5,5,4,4,5,9,6,5,9,3,4,11,70,서울,개인-남자,20~29
Mercedes-Benz,32,33,27,40,22,38,38,36,19,22,36,25,368,서울,개인-남자,20~29
Nissan,2,7,8,1,5,5,5,0,2,3,2,4,44,서울,개인-남자,20~29
Peugeot,1,3,5,3,2,1,2,0,2,2,4,4,29,서울,개인-남자,20~29
Porsche,2,2,1,2,1,3,2,0,1,1,1,2,18,서울,개인-남자,20~29
Toyota,4,5,6,5,3,8,9,5,7,9,8,12,81,서울,개인-남자,20~29
Volvo,1,1,1,1,0,4,1,2,1,1,3,0,16,서울,개인-남자,20~29
Audi,11,7,4,0,0,0,0,0,0,0,0,0,22,서울,개인-남자,30~39
BMW,83,138,300,383,288,292,134,153,256,227,360,356,"2,970",서울,개인-남자,30~39
Bentley,0,0,0,0,1,0,0,0,0,0,1,0,2,서울,개인-남자,30~39
Cadillac,1,2,3,4,7,6,7,5,9,2,5,13,64,서울,개인-남자,30~39
Chrysler,18,24,20,23,17,27,22,26,29,15,23,27,271,서울,개인-남자,30~39
Citroen,3,8,9,6,3,4,8,7,6,5,3,8,70,서울,개인-남자,30~39
Fiat,0,16,31,9,0,1,1,0,0,0,0,0,58,서울,개인-남자,30~39
Ford,29,26,30,25,29,23,34,20,12,19,22,27,296,서울,개인-남자,30~39
Honda,32,23,30,53,59,77,56,30,50,37,38,31,516,서울,개인-남자,30~39
Infiniti,6,6,12,26,18,19,14,21,16,16,17,24,195,서울,개인-남자,30~39
Jaguar,5,5,33,4,9,19,8,5,6,0,3,13,110,서울,개인-남자,30~39
Land Rover,13,18,28,15,11,31,24,28,33,25,25,26,277,서울,개인-남자,30~39
Lexus,34,31,36,38,26,48,22,38,39,26,38,51,427,서울,개인-남자,30~39
MINI,25,16,24,26,43,40,38,24,33,26,32,63,390,서울,개인-남자,30~39
Mercedes-Benz,218,192,220,204,194,239,199,188,161,146,211,119,"2,291",서울,개인-남자,30~39
Nissan,36,23,31,35,29,27,28,19,30,18,19,18,313,서울,개인-남자,30~39
Peugeot,3,12,8,15,4,10,6,14,7,6,10,7,102,서울,개인-남자,30~39
Porsche,11,9,11,10,16,10,10,4,8,3,9,13,114,서울,개인-남자,30~39
Toyota,53,48,54,49,49,39,53,96,51,46,59,58,655,서울,개인-남자,30~39
Volvo,21,27,29,30,34,43,32,38,32,29,34,10,359,서울,개인-남자,30~39
Audi,12,9,4,0,0,0,0,0,0,0,0,0,25,서울,개인-남자,40~49
BMW,46,81,177,200,141,129,54,85,127,117,200,239,"1,596",서울,개인-남자,40~49
Bentley,0,0,0,0,2,0,0,0,0,1,0,1,4,서울,개인-남자,40~49
Cadillac,1,5,1,6,4,3,2,2,2,1,7,8,42,서울,개인-남자,40~49
Chrysler,8,18,23,20,12,19,9,12,14,14,20,9,178,서울,개인-남자,40~49
Citroen,10,5,1,2,6,2,2,4,7,3,1,4,47,서울,개인-남자,40~49
Fiat,1,8,19,7,1,1,0,0,0,0,0,0,37,서울,개인-남자,40~49
Ford,41,25,26,22,40,45,36,36,32,25,21,32,381,서울,개인-남자,40~49
Honda,42,25,20,49,55,88,51,20,34,47,63,27,521,서울,개인-남자,40~49
Infiniti,5,3,10,22,13,10,9,10,11,13,14,16,136,서울,개인-남자,40~49
Jaguar,3,5,23,3,1,13,2,3,8,1,2,16,80,서울,개인-남자,40~49
Lamborghini,0,1,0,0,0,0,0,0,0,0,0,0,1,서울,개인-남자,40~49
Land Rover,12,23,32,18,16,27,17,25,29,37,25,43,304,서울,개인-남자,40~49
Lexus,30,41,42,50,40,62,39,48,39,33,37,46,507,서울,개인-남자,40~49
MINI,9,15,15,20,18,10,24,17,21,12,14,29,204,서울,개인-남자,40~49
Mercedes-Benz,186,132,183,150,139,220,138,128,123,90,138,85,"1,712",서울,개인-남자,40~49
Nissan,17,14,24,14,17,16,18,19,19,11,15,18,202,서울,개인-남자,40~49
Peugeot,0,6,9,10,10,4,9,7,11,4,7,8,85,서울,개인-남자,40~49
Porsche,9,5,10,3,11,3,3,3,8,4,5,12,76,서울,개인-남자,40~49
Toyota,43,34,39,34,47,37,45,66,41,50,76,38,550,서울,개인-남자,40~49
Volvo,22,27,28,28,40,32,29,29,14,19,24,6,298,서울,개인-남자,40~49
Audi,9,4,0,0,0,0,0,0,0,0,0,0,13,서울,개인-남자,50~59
BMW,31,45,73,75,62,50,29,57,51,46,66,105,690,서울,개인-남자,50~59
Bentley,0,0,0,0,1,0,1,0,0,0,1,1,4,서울,개인-남자,50~59
Cadillac,2,3,2,1,5,5,0,1,4,1,3,4,31,서울,개인-남자,50~59
Chrysler,7,14,8,7,16,10,13,7,14,7,10,14,127,서울,개인-남자,50~59
Citroen,1,2,1,0,1,1,1,1,1,1,0,0,10,서울,개인-남자,50~59
Fiat,0,9,5,0,0,0,0,0,0,0,0,0,14,서울,개인-남자,50~59
Ford,17,16,18,13,16,26,25,8,17,14,8,16,194,서울,개인-남자,50~59
Honda,16,7,10,17,29,36,27,10,21,29,12,12,226,서울,개인-남자,50~59
Infiniti,2,3,3,6,8,8,3,3,5,2,2,3,48,서울,개인-남자,50~59
Jaguar,2,5,11,1,2,7,3,1,6,2,3,5,48,서울,개인-남자,50~59
Lamborghini,1,0,0,0,0,0,0,0,0,0,0,0,1,서울,개인-남자,50~59
Land Rover,10,17,21,10,4,19,13,13,19,18,15,21,180,서울,개인-남자,50~59
Lexus,24,25,35,26,28,36,36,28,31,32,38,45,384,서울,개인-남자,50~59
MINI,5,6,7,6,10,10,6,7,12,6,8,6,89,서울,개인-남자,50~59
Mercedes-Benz,121,92,118,94,97,134,91,113,109,60,99,51,"1,179",서울,개인-남자,50~59
