Brand,지역,유형,age,year,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,total
Audi,부산,개인-남자,20~29,2017,0,1,0,0,0,0,0,0,0,0,0,0,1
Audi,부산,개인-남자,20~29,2018,0,0,0,1,3,3,1,1,0,0,0,3,12
Audi,부산,개인-남자,20~29,2019,0,5,0,0,0,0,0,0,0,0,1,4,10
Audi,부산,개인-남자,20~29,2020,0,0,2,4,0,2,2,3,0,1,2,5,21
Audi,부산,개인-남자,20~29,2021,0,1,3,2,0,0,0,0,0,0,0,0,6
Audi,부산,개인-남자,30~39,2016,3,2,1,0,0,0,0,0,0,0,0,0,6
Audi,부산,개인-남자,30~39,2017,3,2,1,0,0,0,0,0,0,0,0,0,6
Audi,부산,개인-남자,30~39,2018,1,0,0,18,12,8,13,16,0,5,8,4,85
Audi,부산,개인-남자,30~39,2019,5,5,0,0,0,0,0,0,14,22,21,14,81
Audi,부산,개인-남자,30~39,2020,7,3,4,11,9,21,9,27,25,25,16,26,183
Audi,부산,개인-남자,30~39,2021,9,15,28,10,0,0,0,0,0,0,0,0,62
Audi,부산,개인-남자,40~49,2016,4,2,2,0,0,0,0,0,0,0,0,0,8
