구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age,year
Volkswagen,0,4,0,2,0,0,0,0,0,0,0,0,6,세종,법인,-,2021
Volvo,0,1,1,0,0,0,0,0,0,0,0,0,2,세종,법인,-,2021
Audi,28,48,38,34,0,0,0,0,0,0,0,0,148,경기,법인,-,2021
BMW,64,57,77,84,0,0,0,0,0,0,0,0,282,경기,법인,-,2021
Bentley,1,0,0,1,0,0,0,0,0,0,0,0,2,경기,법인,-,2021
Cadillac,3,1,5,2,0,0,0,0,0,0,0,0,11,경기,법인,-,2021
Chevrolet,32,14,17,32,0,0,0,0,0,0,0,0,95,경기,법인,-,2021
Chrysler,23,11,30,15,0,0,0,0,0,0,0,0,79,경기,법인,-,2021
Citroen,1,1,6,2,0,0,0,0,0,0,0,0,10,경기,법인,-,2021
Ford,8,6,6,25,0,0,0,0,0,0,0,0,45,경기,법인,-,2021
Honda,4,6,6,2,0,0,0,0,0,0,0,0,18,경기,법인,-,2021
Jaguar,0,1,0,0,0,0,0,0,0,0,0,0,1,경기,법인,-,2021
Lamborghini,0,0,2,1,0,0,0,0,0,0,0,0,3,경기,법인,-,2021
Land Rover,6,4,8,3,0,0,0,0,0,0,0,0,21,경기,법인,-,2021
Lexus,4,10,12,20,0,0,0,0,0,0,0,0,46,경기,법인,-,2021
Lincoln,19,11,6,10,0,0,0,0,0,0,0,0,46,경기,법인,-,2021
MINI,8,5,3,5,0,0,0,0,0,0,0,0,21,경기,법인,-,2021
Maserati,0,0,1,3,0,0,0,0,0,0,0,0,4,경기,법인,-,2021
Mercedes-Benz,126,109,144,187,0,0,0,0,0,0,0,0,566,경기,법인,-,2021
Peugeot,1,0,7,4,0,0,0,0,0,0,0,0,12,경기,법인,-,2021
Porsche,14,16,16,14,0,0,0,0,0,0,0,0,60,경기,법인,-,2021
Rolls-Royce,2,1,0,3,0,0,0,0,0,0,0,0,6,경기,법인,-,2021
Toyota,14,3,11,14,0,0,0,0,0,0,0,0,42,경기,법인,-,2021
Volkswagen,19,24,14,11,0,0,0,0,0,0,0,0,68,경기,법인,-,2021
Volvo,15,17,18,14,0,0,0,0,0,0,0,0,64,경기,법인,-,2021
Audi,1,1,2,0,0,0,0,0,0,0,0,0,4,강원,법인,-,2021
BMW,5,3,3,3,0,0,0,0,0,0,0,0,14,강원,법인,-,2021
Chevrolet,1,0,3,4,0,0,0,0,0,0,0,0,8,강원,법인,-,2021
Chrysler,4,1,1,3,0,0,0,0,0,0,0,0,9,강원,법인,-,2021
Ford,0,0,2,1,0,0,0,0,0,0,0,0,3,강원,법인,-,2021
Jaguar,0,0,0,1,0,0,0,0,0,0,0,0,1,강원,법인,-,2021
Land Rover,1,1,0,0,0,0,0,0,0,0,0,0,2,강원,법인,-,2021
Lexus,0,1,1,2,0,0,0,0,0,0,0,0,4,강원,법인,-,2021
Lincoln,1,1,0,1,0,0,0,0,0,0,0,0,3,강원,법인,-,2021
MINI,0,0,2,0,0,0,0,0,0,0,0,0,2,강원,법인,-,2021
Mercedes-Benz,8,6,6,7,0,0,0,0,0,0,0,0,27,강원,법인,-,2021
Porsche,1,0,0,0,0,0,0,0,0,0,0,0,1,강원,법인,-,2021
Volkswagen,0,0,1,1,0,0,0,0,0,0,0,0,2,강원,법인,-,2021
Volvo,2,1,0,2,0,0,0,0,0,0,0,0,5,강원,법인,-,2021
Audi,2,8,5,4,0,0,0,0,0,0,0,0,19,충북,법인,-,2021
BMW,17,9,10,6,0,0,0,0,0,0,0,0,42,충북,법인,-,2021
Chevrolet,4,3,1,2,0,0,0,0,0,0,0,0,10,충북,법인,-,2021
